itr,mu,sigma
1,9.0,0.0
2,5.5,12.25
3,4.333333333333333,10.888888888888893
4,3.5,10.25
5,3.0,9.2
6,2.6666666666666665,8.222222222222223
7,2.5714285714285716,7.102040816326529
8,2.5,6.25
9,2.3333333333333335,5.777777777777776
10,2.4,5.24
11,2.4545454545454546,4.793388429752066
12,2.3333333333333335,4.5555555555555545
13,2.4615384615384617,4.402366863905325
14,2.357142857142857,4.229591836734694
15,2.2666666666666666,4.062222222222222
16,2.1875,3.90234375
17,2.1176470588235294,3.750865051903113
18,2.111111111111111,3.5432098765432096
19,2.0526315789473686,3.418282548476454
20,2.05,3.2475000000000005
21,2.0952380952380953,3.133786848072562
22,2.090909090909091,2.991735537190083
23,2.0434782608695654,2.911153119092627
24,2.0000000000000004,2.8333333333333313
25,1.9600000000000006,2.7583999999999973
26,1.9230769230769236,2.6863905325443773
27,1.8888888888888895,2.6172839506172814
28,1.928571428571429,2.566326530612243
29,1.8965517241379315,2.5065398335315088
30,1.8666666666666671,2.4488888888888876
31,1.8387096774193552,2.3933402705515077
32,1.8125000000000004,2.3398437499999982
33,2.0000000000000004,3.393939393939392
34,2.0000000000000004,3.2941176470588216
35,2.0000000000000004,3.1999999999999984
36,1.9722222222222225,3.1381172839506157
37,1.9459459459459463,3.0781592403214013
38,1.9210526315789478,3.0200831024930728
39,1.8974358974358978,2.963839579224193
40,1.8750000000000004,2.909374999999998
41,1.8536585365853662,2.8566329565734674
42,1.8333333333333337,2.8055555555555545
43,1.8139534883720934,2.7560843699296904
44,1.7954545454545459,2.708161157024792
45,1.7777777777777781,2.661728395061727
46,1.7608695652173916,2.6167296786389405
47,1.7659574468085109,2.562245359891353
48,1.7708333333333337,2.509982638888887
49,1.755102040816327,2.4706372344856296
50,1.7400000000000002,2.432399999999999
51,1.7254901960784317,2.395232602845058
52,1.7692307692307696,2.446745562130176
53,1.7735849056603776,2.401566393734424
54,1.7592592592592595,2.3679698216735243
55,1.763636363636364,2.32595041322314
56,1.8035714285714288,2.372130102040815
57,1.8070175438596494,2.3311788242536156
58,1.810344827586207,2.2916171224732453
59,1.7966101694915257,2.263717322608444
60,1.7833333333333337,2.236388888888888
61,1.7704918032786887,2.2096210696049443
62,1.8225806451612905,2.339490114464099
63,1.8095238095238098,2.3129251700680262
64,1.8906250000000002,2.691162109374999
65,1.8769230769230771,2.6617751479289935
66,1.8939393939393943,2.6402662993572075
67,2.044776119402985,4.102472711071508
68,2.0441176470588234,4.0421712802768175
69,2.028985507246377,3.9991598403696704
70,2.0285714285714285,3.9420408163265312
71,2.028169014084507,3.886530450307479
72,2.013888888888889,3.8470293209876543
73,2.0,3.808219178082192
74,2.1216216216216215,4.83655953250548
75,2.12,4.772266666666667
76,2.1052631578947367,4.725761772853187
77,2.1298701298701297,4.710406476640246
78,2.1153846153846154,4.666173570019725
79,2.3037974683544302,7.376061528601189
80,2.3125,7.289843750000001
81,2.2962962962962963,7.220850480109742
82,2.3048780487804876,7.138756692444978
83,2.289156626506024,7.073014951371756
84,2.2738095238095237,7.0083616780045395
85,2.2941176470588234,6.960553633217998
86,2.302325581395349,6.885343428880481
87,2.2873563218390807,6.825472321310613
88,2.272727272727273,6.766528925619839
89,2.269662921348315,6.691326852670122
90,2.3111111111111113,6.769876543209881
91,2.318681318681319,6.700640019321342
92,2.336956521739131,6.658199432892253
93,2.3225806451612905,6.605619146722169
94,2.308510638297873,6.553757356269808
95,2.2947368421052636,6.502603878116346
96,2.2812500000000004,6.4521484375000036
97,2.2680412371134024,6.402380699330432
98,2.2653061224489797,6.337775926697215
99,2.2525252525252526,6.289766350372416
100,2.25,6.2275000000000045
101,2.2475247524752477,6.166454269189298
102,2.3039215686274512,6.427239523260288
103,2.2912621359223304,6.3811857856536935
104,2.2884615384615388,6.320636094674559
105,2.285714285714286,6.261224489795921
106,2.2735849056603774,6.217604129583486
107,2.2803738317757007,6.164381168661024
108,2.3055555555555554,6.1751543209876605
109,2.2935779816513757,6.133995454928042
110,2.2818181818181813,6.093305785123974
111,2.297297297297297,6.064767470172882
112,2.3035714285714284,6.014987244897964
113,2.2920353982300883,5.976662228835466
114,2.3157894736842106,5.987996306555868
115,2.3043478260869565,5.950850661625713
116,2.293103448275862,5.914090368608803
117,2.299145299145299,5.867777047264231
118,2.288135593220339,5.832232117207702
119,2.277310924369748,5.797048231057133
120,2.2666666666666666,5.762222222222227
121,2.272727272727273,5.719008264462812
122,2.2950819672131146,5.732598763773184
123,2.2845528455284554,5.699517482979711
124,2.274193548387097,5.666753381893862
125,2.264,5.634304000000005
126,2.261904761904762,5.590136054421771
127,2.251968503937008,5.5585591171182385
128,2.2578125,5.5194702148437536
129,2.2868217054263567,5.584399975962986
130,2.3,5.563846153846159
131,2.2900763358778624,5.5341763300507
132,2.2803030303030303,5.504763544536276
133,2.2706766917293235,5.4756063090056
134,2.2761194029850746,5.438683448429498
135,2.2888888888888888,5.420246913580252
136,2.286764705882353,5.381001297577858
137,2.2773722627737225,5.3537215621503575
138,2.2681159420289854,5.326664566267595
139,2.258992805755396,5.299829201387094
140,2.25,5.273214285714289
141,2.2624113475177303,5.257381419445706
142,2.2535211267605635,5.231501686173382
143,2.2447552447552446,5.205829135899072
144,2.236111111111111,5.180362654320994
145,2.2758620689655173,5.372175980975036
146,2.287671232876712,5.355601426158761
147,2.2789115646258504,5.330371604424089
148,2.277027027027027,5.294877647918195
149,2.2684563758389262,5.270213053466068
150,2.26,5.245733333333342
151,2.2516556291390724,5.2214376562431575
152,2.2499999999999996,5.187500000000009
153,2.248366013071895,5.154000598060585
154,2.2727272727272725,5.211334120425038
155,2.2709677419354835,5.178189386056201
156,2.2628205128205123,5.155284352399746
157,2.2611464968152863,5.122885309748883
158,2.253164556962025,5.100464669123548
159,2.2452830188679243,5.078201020529261
160,2.2375,5.056093750000009
161,2.2360248447204967,5.025037614289582
162,2.2407407407407405,4.997599451303164
163,2.2331288343558278,4.9763257932176685
164,2.2317073170731705,4.94631171921476
165,2.2242424242424237,4.925472910927464
166,2.216867469879517,4.9047757294237275
167,2.2215568862275443,4.879056258740013
168,2.2261904761904754,4.85359977324264
169,2.2189349112426027,4.833724309372931
170,2.223529411764705,4.808858131487899
171,2.2339181286549703,4.7990834786772085
172,2.3023255813953485,5.57138994050839
173,2.335260115606936,5.725750943900573
174,2.327586206896551,5.703032104637345
175,2.331428571428571,5.6730122448979685
176,2.3352272727272725,5.6433044938016605
177,2.338983050847457,5.613904050560192
178,2.331460674157303,5.592381012498429
179,2.329608938547486,5.56174900908212
180,2.333333333333333,5.53333333333334
181,2.342541436464088,5.518024480327224
182,2.335164835164835,5.497554643159046
183,2.327868852459016,5.477201469139128
184,2.320652173913043,5.456964792060499
185,2.3351351351351344,5.466062819576343
186,2.327956989247311,5.446207654064064
187,2.3262032085561493,5.417655637850676
188,2.3191489361702122,5.398143956541431
189,2.3174603174603168,5.3701184177374754
190,2.3157894736842097,5.342382271468155
191,2.3141361256544495,5.314931060003849
192,2.3177083333333326,5.289686414930567
193,2.3108808290155434,5.271228757819013
194,2.3041237113402055,5.252869592942937
195,2.297435897435897,5.234608809993436
196,2.290816326530612,5.216446272386514
197,2.2842639593908625,5.198381818650322
198,2.2777777777777772,5.180415263748606
199,2.2713567839195976,5.162546400343434
200,2.2649999999999997,5.144775000000009
201,2.2587064676616913,5.127100814336288
202,2.257425742574257,5.102048818743269
203,2.2857142857142856,5.238564391273758
204,2.284313725490196,5.213283352556717
205,2.2829268292682925,5.188245092207028
206,2.2766990291262132,5.1710104628146
207,2.2705314009661834,5.1538659011879
208,2.264423076923077,5.136811205621308
209,2.2679425837320575,5.114809642636393
210,2.261904761904762,5.098072562358283
211,2.2606635071090047,5.074234630848371
212,2.2547169811320753,5.05776076895693
213,2.248826291079812,5.041371861843998
214,2.247663551401869,5.0181020176434705
215,2.3348837209302324,6.622736614386162
216,2.3333333333333335,6.592592592592598
217,2.3271889400921664,6.570366752320078
218,2.344036697247707,6.601822237185425
219,2.3744292237442934,6.773044765538668
220,2.4454545454545467,7.84702479338843
221,2.4389140271493224,7.82092913740505
222,2.4324324324324333,7.794984173362554
223,2.4260089686098665,7.76918900440387
224,2.437500000000001,7.763950892857145
225,2.4355555555555566,7.730291358024692
226,2.4336283185840717,7.696922233534343
227,2.4273127753303974,7.672029342700229
228,2.4342105263157903,7.649180517082181
229,2.427947598253276,7.624721115157989
230,2.4304347826086965,7.592986767485823
231,2.424242424242425,7.568936114390661
232,2.418103448275863,7.545017092746732
233,2.4206008583690997,7.514082042402698
234,2.4230769230769242,7.4833990795529255
235,2.421276595744682,7.452313263920327
236,2.4322033898305095,7.448793450158001
237,2.4345991561181446,7.418718510210259
238,2.457983193277312,7.517142150978039
239,2.4560669456066955,7.486563610581048
240,2.450000000000001,7.464166666666667
241,2.4439834024896276,7.441882887691328
242,2.4421487603305794,7.41194249026706
243,2.4567901234567913,7.433318091754305
244,2.4508196721311486,7.411515721580222
245,2.4693877551020416,7.465389421074555
246,2.4878048780487814,7.518143961927425
247,2.489878542510122,7.488763952859416
248,2.4838709677419364,7.46748178980229
249,2.4779116465863464,7.446299253237851
250,2.476000000000001,7.417424000000001
251,2.4741035856573714,7.388771606799892
252,2.4682539682539693,7.3680398085159995
253,2.4624505928853764,7.347404271274352
254,2.464566929133859,7.3196106392212785
255,2.4588235294117657,7.29928489042676
256,2.453125000000001,7.279052734375001
257,2.451361867704281,7.251525382670443
258,2.445736434108528,7.231551589447751
259,2.440154440154441,7.211669474217738
260,2.4423076923076934,7.185133136094675
261,2.4406130268199244,7.158350582052525
262,2.450381679389314,7.155934968824661
263,2.444866920152092,7.1366941838106674
264,2.4583333333333344,7.1573547979797985
265,2.452830188679246,7.138341046635815
266,2.4473684210526323,7.119410368025328
267,2.441947565543072,7.100562499123289
268,2.447761194029851,7.0830920026732045
269,2.4572490706319705,7.080886112685015
270,2.4703703703703708,7.100973936899867
271,2.464944649446495,7.082719461880969
272,2.459558823529412,7.064540981833913
273,2.454212454212455,7.046438299185554
274,2.4598540145985406,7.029410197666368
275,2.476363636363637,7.078532231404961
276,2.4891304347826093,7.097707939508508
277,2.490974729241878,7.073023237628539
278,2.485611510791368,7.055548367061745
279,2.4802867383512552,7.038141853264991
280,2.482142857142858,7.013966836734693
281,2.480427046263346,6.989830422613695
282,2.47517730496454,6.972788089130326
283,2.4734982332155484,6.948944299466843
284,2.4683098591549304,6.932094326522517
285,2.463157894736843,6.915309325946446
286,2.458041958041959,6.898589173064701
287,2.4529616724738683,6.881933737206962
288,2.4618055555555562,6.880485628858027
289,2.4567474048442914,6.864046168029599
290,2.451724137931035,6.847669441141503
291,2.4570446735395195,6.832347279791219
292,2.465753424657535,6.831018952899232
293,2.4607508532423217,6.815012405502686
294,2.455782312925171,6.79906520431302
295,2.4508474576271193,6.783177247917267
296,2.4459459459459465,6.767348429510594
297,2.4410774410774416,6.751578637100524
298,2.4362416107382554,6.735867753704791
299,2.4381270903010037,6.7143991677945465
300,2.446666666666667,6.713822222222224
301,2.4518272425249172,6.699506627962168
302,2.450331125827815,6.677996579097411
303,2.445544554455446,6.662876188608965
304,2.4440789473684212,6.641609677977845
305,2.455737704918033,6.661155603332444
306,2.4934640522875817,7.073486693152214
307,2.498371335504886,7.057814937028516
308,2.496753246753247,7.0357037443076464
309,2.4951456310679614,7.0137304804097225
310,2.4935483870967747,6.9918938605619205
311,2.4951768488745985,6.9702339719399165
312,2.490384615384616,6.955035749506909
313,2.4888178913738024,6.933581030734217
314,2.4872611464968157,6.912258103777035
315,2.485714285714286,6.891065759637194
316,2.4810126582278484,6.876221759333447
317,2.4763406940063093,6.861427618943375
318,2.493710691823899,6.935495035797644
319,2.4890282131661436,6.92072601487801
320,2.484374999999999,6.906005859375013
321,2.5015576323987534,6.978969536398145
322,2.496894409937888,6.9642760695960915
323,2.492260061919504,6.949630495835302
324,2.487654320987654,6.93503276939492
325,2.5015384615384613,6.976151479289951
326,2.515337423312883,7.016635929090303
327,2.516819571865443,6.995894472032854
328,2.518292682926829,6.975275133848909
329,2.5227963525835864,6.960726526916797
330,2.524242424242424,6.94032139577595
331,2.522658610271903,6.920181451428894
332,2.527108433734939,6.905891638844546
333,2.5225225225225216,6.892135378621878
334,2.520958083832334,6.872315249740055
335,2.51641791044776,6.8586856760971395
336,2.514880952380951,6.8390642715419645
337,2.510385756676557,6.825559791844619
338,2.5059171597633125,6.812095164735141
339,2.5044247787610607,6.792753282689862
340,2.5088235294117633,6.779333910034617
341,2.513196480938415,6.765954885148922
342,2.511695906432747,6.746939229164545
343,2.507288629737608,6.733911890453823
344,2.5029069767441845,6.720921782044365
345,2.4985507246376795,6.707968914093694
346,2.494219653179189,6.6950532927929585
347,2.4899135446685863,6.682174920479382
348,2.4885057471264354,6.663660985599169
349,2.48997134670487,6.64531489889247
350,2.548571428571427,7.824783673469402
351,2.544159544159543,7.8093034959131975
352,2.5568181818181803,7.8433626033058
353,2.5580736543909333,7.821698272195444
354,2.553672316384179,7.806441316352278
355,2.560563380281688,7.801261654433663
356,2.556179775280897,7.786169675546035
357,2.565826330532211,7.7974876224999985
358,2.5614525139664783,7.782536437689229
359,2.568245125348187,7.777376029050073
360,2.5694444444444424,7.756288580246932
361,2.5650969529085854,7.741607262068293
362,2.577348066298341,7.774404016971415
363,2.575757575757574,7.753902662993589
364,2.5714285714285694,7.739403453689186
365,2.567123287671231,7.724946519046743
366,2.562841530054643,7.7105318164173475
367,2.5613079019073552,7.69038303053703
368,2.5570652173913024,7.6760913870510565
369,2.5528455284552827,7.6618414964637624
370,2.548648648648647,7.647633308984678
371,2.547169811320753,7.6278289172557745
372,2.5510752688172027,7.612982714764728
373,2.55764075067024,7.608607838768352
374,2.5561497326203195,7.589093196831493
375,2.5519999999999987,7.575296000000015
376,2.5664893617021263,7.633877037120884
377,2.56233421750663,7.620119750367637
378,2.558201058201057,7.606400996612651
379,2.5540897097625317,7.592720741292542
380,2.549999999999999,7.5790789473684335
381,2.5511811023622037,7.559716452766251
382,2.5575916230366484,7.555583728516225
383,2.577023498694516,7.680098712241557
384,2.5755208333333326,7.660963270399317
385,2.5714285714285707,7.647495361781087
386,2.5673575129533672,7.634064001718178
387,2.563307493540051,7.620669163845665
388,2.5592783505154633,7.607310819428218
389,2.5552699228791766,7.593988937424426
390,2.553846153846153,7.575305719921115
391,2.5703324808184136,7.661933137538358
392,2.566326530612244,7.64866201582675
393,2.5623409669211186,7.635426580942589
394,2.560913705583755,7.616847896106585
395,2.582278481012657,7.777407466752138
396,2.5808080808080796,7.758621569227643
397,2.5894206549118377,7.7684523091955535
398,2.585427135678391,7.7552650185601495
399,2.593984962406014,7.764976350651078
400,2.592499999999999,7.7464437500000125
401,2.5885286783042383,7.733434493566595
402,2.5870646766169143,7.715056558006003
403,2.585607940446649,7.6967655733364655
404,2.589108910891088,7.682653661405758
405,2.59753086419753,7.692339582380747
406,2.5935960591132994,7.67966342303867
407,2.5970515970515957,7.665642412571173
408,2.5931372549019596,7.653090157631693
409,2.5965770171149134,7.63920588710016
410,2.592682926829267,7.62677572873291
411,2.5985401459854005,7.622284973449138
412,2.594660194174756,7.6099714864737615
413,2.5907990314769966,7.597687739272681
414,2.5869565217391295,7.585433732409169
415,2.583132530120481,7.57320946436349
416,2.579326923076922,7.561014931582852
417,2.575539568345323,7.54885012853028
418,2.5717703349282286,7.536715047732435
419,2.5704057279236268,7.51950604063546
420,2.5666666666666655,7.50746031746033
421,2.570071258907362,7.494496194447121
422,2.575829383886255,7.4906954021697745
423,2.5721040189125284,7.478843563648163
424,2.5683962264150932,7.467020069419734
425,2.56470588235294,7.455224913494821
426,2.561032863849764,7.443458088121857
427,2.5573770491803267,7.431719583829244
428,2.5537383177570083,7.4200093894663395
429,2.5501165501165493,7.408327492243587
430,2.5465116279069755,7.396673877771782
431,2.5522041763341057,7.393446417708788
432,2.5486111111111103,7.381896219135814
433,2.5519630484988443,7.369701689165775
434,2.5483870967741926,7.35825776720679
435,2.5448275862068956,7.346841062227519
436,2.555045871559632,7.375410318996729
437,2.5583524027459945,7.363299802585771
438,2.5570776255707752,7.347198765663779
439,2.5535307517084274,7.335972727414251
440,2.5522727272727264,7.319994834710755
441,2.56689342403628,7.397452707462437
442,2.57918552036199,7.447349562867276
443,2.6094808126410824,7.836208082588968
444,2.617117117117116,7.8443916889862955
445,2.615730337078651,7.827617725034728
446,2.61659192825112,7.810397353656831
447,2.615212527964205,7.79377305326588
448,2.6138392857142847,7.777219188456644
449,2.6102449888641415,7.765685686082918
450,2.6066666666666656,7.754177777777789
451,2.6031042128603095,7.742695463640799
452,2.6084070796460166,7.738247905082634
453,2.6048565121412794,7.726863831508376
454,2.605726872246695,7.710187467251461
455,2.6021978021978014,7.698896268566608
456,2.5986842105263146,7.687629847645441
457,2.60831509846827,7.7131037256582635
458,2.6048034934497806,7.701898323830602
459,2.6034858387799553,7.685913774853938
460,2.599999999999999,7.674782608695661
461,2.596529284164858,7.663675589706439
462,2.5952380952380945,7.647856112141836
463,2.593952483801295,7.632101656489523
464,2.5926724137931023,7.616411823721772
465,2.599999999999999,7.624946236559149
466,2.596566523605149,7.614065464458741
467,2.595289079229121,7.598521704441775
468,2.5961538461538454,7.582634779750173
469,2.5927505330490397,7.571887743736399
470,2.595744680851063,7.559981892258952
471,2.5923566878980884,7.549325868527468
472,2.5932203389830497,7.533682849755829
473,2.5898520084566585,7.523110548923039
474,2.588607594936708,7.507971478929669
475,2.5915789473684203,7.496350138504164
476,2.5882352941176463,7.485912011863579
477,2.5849056603773577,7.475495431351617
478,2.5836820083682,7.460570543232797
479,2.5991649269311057,7.559581766118533
480,2.5979166666666655,7.544578993055568
481,2.598752598752598,7.529229213220907
482,2.599585062240663,7.513941736540359
483,2.598343685300206,7.499127691404234
484,2.603305785123966,7.4955262618673695
485,2.6061855670103085,7.484085450100977
486,2.6049382716049374,7.469440634049698
487,2.6016427104722784,7.45938128507521
488,2.598360655737704,7.449341574845482
489,2.609406952965234,7.493653840524264
490,2.606122448979591,7.4836359850062575
491,2.6048879837067203,7.469141077065394
492,2.605691056910568,7.454276554960683
493,2.6064908722109523,7.43947105316213
494,2.607287449392712,7.4247242210165805
495,2.6080808080808073,7.410035710641782
496,2.6048387096774186,7.400299167533828
497,2.6056338028169006,7.385722787428807
498,2.6104417670682722,7.38238092933986
499,2.6092184368737468,7.3683318540889475
500,2.607999999999999,7.35433600000001
501,2.6067864271457077,7.340393066163093
502,2.603585657370517,7.330903477722587
503,2.628230616302186,7.621230865305196
504,2.634920634920634,7.6286218190980195
